Score,FIRST DOWNS,THIRD DOWN EFFICIENCY,FOURTH DOWN EFFICIENCY,TOTAL OFFENSE,NET YARDS PASSING,completionAttemptsNumber,completionAttemptsYards,NetYards,SackedNumber,SackedYards,intercepted,NET YARDS RUSHING,Rushing Attempts,Average gain per rush,PUNTS: Number,PUNTS: Yards,Average,TOTAL RETURN YARDS,PENALTIES: Number,PENALTIES: Yards,FUMBLES: Number,FUMBLES: Lost,SACKS: Number,SACKS: Yards,INTERCEPTIONS: Number,INTERCEPTIONS: Yards,TIME OF POSSESSION,Target Data
-21.3333,-4.6667,-6.3333,-16.6667,-228.0,-312.6667,-18.3333,-14.3333,-6.8,3.3333,30.0,-0.3333,84.6667,13.3333,1.5,3.0,113.3333,0.4,39.6667,0.0,-4.0,1.0,0.0,-1.0,-5.6667,0.0,0.0,12.6667,1
2.6667,1.0,-0.6667,-6.6667,-44.0,-161.6667,-8.0,-9.3333,-2.4,-4.0,-25.3333,1.6667,117.6667,13.0,1.7667,0.3333,3.3333,0.8,63.0,2.3333,15.0,0.0,-0.3333,3.3333,17.3333,-1.0,0.0,494.6667,0
-13.0,-4.0,-26.0,-75.0,83.0,146.0,0.0,-2.0,5.1,-3.0,-20.0,0.0,-63.0,-8.0,-0.4,2.0,50.0,-9.0,-66.0,4.0,50.0,1.0,0.0,1.0,-5.0,0.0,4.0,-587.0,1
-12.6667,4.3333,-13.3333,-33.3333,78.6667,169.3333,14.0,12.0,2.9333,5.3333,45.3333,0.0,-90.6667,4.0,-3.4,1.6667,-23.3333,-9.4,-39.0,-1.0,-12.3333,-0.6667,-0.6667,-0.3333,-2.3333,1.3333,30.3333,384.3333,0
28.0,11.0,15.0,0.0,315.0,153.0,5.0,2.0,6.8,3.0,21.0,-1.0,162.0,21.0,2.0,-2.0,-15.0,7.7,166.0,-1.0,2.0,1.0,0.0,3.0,13.0,3.0,72.0,585.0,0
-23.3333,-1.0,14.3333,50.0,-47.6667,42.6667,4.6667,0.0,1.1333,-2.0,-25.0,0.0,-90.3333,-3.3333,-1.9667,0.3333,-15.6667,-6.7,-61.0,-3.0,-42.3333,1.3333,-0.3333,-1.6667,-0.6667,-1.0,0.0,420.3333,1
-9.3333,4.6667,6.0,-5.3333,62.6667,41.3333,3.3333,2.0,1.3667,-1.0,-10.0,0.3333,21.3333,-5.0,1.0667,-3.0,-47.6667,21.6,-112.3333,-2.6667,-29.6667,0.3333,0.3333,-1.0,-9.0,0.0,-28.0,-621.3333,1
0.3333,0.3333,-15.3333,77.6667,-114.0,-200.6667,-11.3333,-14.0,-3.9333,-3.0,-11.3333,0.0,86.6667,8.6667,1.0333,0.6667,-7.6667,-1.2,-63.0,-6.6667,-55.0,-0.6667,0.0,2.3333,19.3333,1.0,34.6667,87.6667,1
23.3333,4.0,6.3333,0.0,51.6667,177.6667,17.6667,23.3333,0.8333,-0.3333,-3.6667,-0.3333,-126.0,-27.6667,-0.1667,0.0,-4.0,-1.3,106.6667,3.3333,19.6667,-0.3333,1.0,1.0,6.0,0.0,38.6667,-888.6667,1
-17.0,-8.0,11.0,-33.0,-236.0,31.0,7.0,27.0,1.1,2.0,3.0,2.0,-267.0,-18.0,-4.0,5.0,185.0,4.2,111.0,4.0,12.0,-4.0,-1.0,1.0,16.0,-1.0,-20.0,-265.0,1
52.0,16.0,11.0,80.0,234.0,65.0,12.0,3.0,1.3,-4.0,-33.0,-1.0,169.0,3.0,4.1,-4.0,-172.0,8.0,24.0,-4.0,-18.0,1.0,0.0,3.0,21.0,1.0,5.0,1107.0,0
4.1111,2.2222,17.0,-14.0,52.3333,-64.0,-6.1111,-10.3333,0.1667,-0.4444,-19.4444,-0.5556,116.3333,6.5556,1.9444,0.5556,79.5556,14.8444,-107.8889,-4.0,-66.1111,0.8889,1.1111,-0.1111,0.4444,0.1111,-35.3333,-315.3333,1
-7.0,12.0,10.0,33.0,189.0,186.0,21.0,27.0,0.9,1.0,3.0,1.0,3.0,0.0,0.1,-3.0,-106.0,-2.0,-52.0,-2.0,-8.0,3.0,2.0,-3.0,-25.0,-2.0,-35.0,621.0,0
9.0,5.0,0.0,-50.0,165.0,252.0,21.0,22.0,5.0,1.0,14.0,2.0,-87.0,-14.0,-0.1,-2.0,-75.0,-5.0,-74.0,0.0,22.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-242.0,0
-7.0,3.0,-9.0,-80.0,80.0,-1.0,-9.0,5.0,-0.7,-3.0,-29.0,1.0,81.0,15.0,1.2,1.0,29.0,-0.1,-111.0,-1.0,-9.0,-2.0,-2.0,-1.0,-8.0,0.0,0.0,238.0,1
3.0,1.0,-2.0,50.0,140.0,-60.0,-13.0,-22.0,4.4,0.0,10.0,0.0,200.0,8.0,3.9,-5.0,-261.0,-10.1,-61.0,-4.0,-29.0,1.0,1.0,-1.0,-1.0,1.0,-30.0,-189.0,1
-25.3333,-17.0,-15.0,-16.6667,-242.3333,-56.3333,-9.0,4.6667,-2.4,3.6667,20.3333,0.6667,-186.0,-18.6667,-3.6667,5.3333,147.6667,-1.9333,106.3333,5.6667,47.3333,1.6667,1.3333,1.6667,9.6667,-0.6667,36.0,-723.0,1
6.3333,11.2222,2.1111,45.2222,108.4444,103.3333,14.6667,16.8889,-0.4556,0.6667,1.7778,-1.4444,5.1111,-1.6667,0.3444,-0.1111,-31.5556,-12.2333,-13.5556,-1.8889,-17.6667,-0.3333,0.4444,-1.5556,-13.7778,1.2222,-8.4444,-385.2222,0
-11.3333,-5.6667,-23.0,0.0,-145.3333,41.6667,5.3333,9.0,-2.4333,1.6667,26.6667,-1.0,-187.0,-14.3333,-3.0,2.0,44.6667,-2.8285,-4.0,-5.0,-45.3333,1.0,1.0,-2.0,-12.0,-2.3333,-1.3333,-162.3333,1
-56.6667,-13.3333,-25.0,-27.6667,-334.0,-316.3333,-11.6667,4.0,-10.0667,3.0,10.0,0.0,-17.6667,4.0,-0.8667,7.0,268.3333,2.7667,-73.0,3.3333,57.6667,-1.3333,-0.3333,-5.0,-36.3333,1.0,-5.3333,348.3333,1
-13.2222,-4.3333,-16.1111,-5.7778,-66.4444,-62.3333,-2.8889,-8.2222,-0.0333,0.5556,1.6667,-0.6667,-4.1111,12.7778,-1.1222,5.0,187.7778,-7.1333,-16.3333,4.5556,29.4444,1.4444,1.3333,1.1111,8.0,0.7778,19.1111,292.5556,1
-9.4444,-3.5556,8.7778,35.3333,-40.6667,-76.1111,-2.1111,-10.4444,-1.0778,-0.5556,-2.7778,0.0,35.4444,16.5556,-0.1333,0.3333,-10.4444,-2.9556,60.2222,-1.6667,-17.8889,2.6667,2.0,-1.0,-10.8889,-1.1111,-15.5556,65.3333,1
-24.5556,-6.5556,-10.6667,-39.3333,-63.2222,-113.7778,-6.2222,-8.7778,-1.9111,-0.6667,-5.4444,-0.5556,50.5556,-3.8889,2.2889,3.8889,61.3333,-9.8111,-114.7778,0.6667,-11.1111,0.1111,0.3333,0.7778,1.4444,-0.5556,-40.0,201.1111,1
